2025-12-05T11:52:51.271831400 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:54:28.927215700 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:56:05.697203900 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:57:53.117212100 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:59:32.179568100 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T12:01:12.863811800 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T12:02:53.192161100 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T12:04:31.999633700 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T12:06:21.573402200 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2026-01-05T08:59:47.922352600 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 72443 | Depois: PowerAmplifier1.Status.ForwardPower = 64565
2026-01-05T09:21:02.096126900 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 5011 | Depois: PowerAmplifier1.Status.ForwardPower = 3801
2026-01-05T10:33:05.114425 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 72443 | Depois: PowerAmplifier1.Status.ForwardPower = 69183
2026-01-05T10:47:43.623123100 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1318
2026-01-05T10:47:43.775720300 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1318
2026-01-05T10:48:03.937500500 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 954 | Depois: PowerAmplifier1.Status.ForwardPower = 2511
2026-01-05T10:49:47.204113500 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 2511 | Depois: PowerAmplifier1.Status.ForwardPower = 2511
2026-01-05T10:50:07.962122700 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 2511 | Depois: PowerAmplifier1.Status.ForwardPower = 1348
2026-01-12T17:22:15.770304200 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 0 | Depois: PowerAmplifier1.Status.ForwardPower = 26302
2026-01-12T17:24:03.232033500 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 194 | Depois: PowerAmplifier1.Status.ForwardPower = 234
2026-01-12T17:25:53.205021400 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 794 | Depois: PowerAmplifier1.Status.ForwardPower = 37153
2026-01-12T17:30:28.700554 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 33113 | Depois: PowerAmplifier1.Status.ForwardPower = 0
2026-01-12T17:31:47.976949200 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 457 | Depois: PowerAmplifier1.Status.ForwardPower = 478
2026-01-13T16:24:04.568359400 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 2511
2026-01-13T16:25:24.640645500 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 2511 | Depois: PowerAmplifier1.Status.ForwardPower = 5011
2026-01-13T16:26:13.834527900 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 5011 | Depois: PowerAmplifier1.Status.ForwardPower = 19952
2026-01-13T16:27:14.020582 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 19952 | Depois: PowerAmplifier1.Status.ForwardPower = 66069
